serie,time
A,Atlético-MG
A,Bahia
A,Botafogo
A,Bragantino
A,Ceará
A,Corinthians
A,Cruzeiro
A,Flamengo
A,Fluminense
A,Fortaleza
A,Grêmio
A,Internacional
A,Juventude
A,Mirassol
A,Palmeiras
A,Santos
A,São Paulo
A,Sport
A,Vasco
A,Vitória
B,Athletico-PR
B,América-MG
B,Amazonas FC
B,Atlético-GO
B,Athletic-MG
B,Avaí
B,Botafogo-SP
B,Chapecoense
B,CRB
B,Criciúma
B,Coritiba
B,Cuiabá
B,Ferroviária
B,Goiás
B,Novorizontino
B,Operário-PR
B,Paysandu
B,Remo
B,Volta Redonda
B,Vila Nova
C,ABC
C,Anápolis
C,Botafogo-PB
C,Brusque
C,Caxias
C,Confiança
C,CSA
C,Figueirense
C,Floresta
C,Guarani
C,Itabaiana
C,Ituano
C,Londrina
C,Maringá
C,Náutico
C,Ponte Preta
C,Retrô
C,São Bernardo
C,Tombense
C,Ypiranga-RS
D,Água Santa
D,Águia de Marabá
D,Altos-PI
D,ASA
D,América-RN
D,Aparecidense
D,Azuriz
D,Barra-SC
D,Barcelona de Ilhéus
D,Boavista
D,Brasil de Pelotas
D,Cascavel
D,Capital-DF
D,Ceilândia
D,Central
D,Cianorte
D,Ferroviário-CE
D,GAS-RR
D,Goiânia
D,Goianésia
D,Goiatuba
D,Guarany de Bagé
D,Horizonte
D,Humaitá
D,Iguatu
D,Imperatriz-MA
D,Independência-AC
D,Inter de Limeira
D,Itabirito
D,Jequié
D,Joinville
D,Juazeirense
D,Lagarto
D,Luverdense
D,Manauara
D,Manaus
D,Maracanã
D,Maranhão
D,Maricá
D,Marcílio Dias
D,Monte Azul
D,Nova Iguaçu
D,Operário-MS
D,Parnahyba
D,Penedense-AL
D,Porto Velho
D,Porto Vitória
D,Portuguesa
D,Pouso Alegre
D,Rio Branco-ES
D,Sampaio Corrêa
D,Santa Cruz
D,Santa Cruz-RN
D,São Luiz de Ijuí
D,São José-RS
D,Sergipe
D,Sousa
D,Tocantinópolis
D,Tuna Luso
D,Trem
D,Treze-PB
D,Uberlândia
D,União-TO
D,União Rondonópolis
